Date,Open,High,Low,Close,Volume
05/05/2025,"1,114.80","1,144.02","1,107.01","1,134.06","5,662,317"
05/02/2025,"1,136.66","1,159.44","1,133.32","1,156.49","3,774,282"
05/01/2025,"1,122.52","1,142.42","1,111.83","1,133.47","3,499,497"
04/30/2025,"1,112.65","1,133.20","1,101.11","1,131.72","4,266,676"
04/29/2025,"1,103.92","1,127.81","1,095.48","1,125.64","3,777,329"
04/28/2025,"1,100.00","1,114.00","1,082.62","1,110.38","3,831,088"
04/25/2025,"1,097.04","1,106.80","1,091.00","1,101.53","3,950,008"
04/24/2025,"1,048.00","1,101.00","1,047.02","1,096.87","6,381,896"
04/23/2025,"1,047.23","1,061.25","1,032.00","1,049.59","6,471,876"
04/22/2025,"1,005.30","1,064.97","1,004.52","1,040.34","9,368,873"
04/21/2025,"984.40","1,019.00","973.05","987.91","9,775,747"
04/17/2025,"969.00","984.70","956.00","973.03","8,893,735"
04/16/2025,"976.28","981.21","949.17","961.63","6,066,113"
04/15/2025,"950.00","993.45","948.00","976.28","7,711,982"
04/14/2025,"932.70","948.98","919.50","931.28","4,035,895"
04/11/2025,"920.00","944.86","906.68","918.29","4,073,638"
04/10/2025,"931.94","941.24","894.00","921.17","5,129,755"
04/09/2025,"855.93","951.43","854.40","945.47","7,497,974"
04/08/2025,"912.44","922.42","857.70","870.40","5,625,382"
04/07/2025,"827.85","906.74","821.10","867.83","6,656,823"
04/04/2025,"896.50","906.63","853.87","855.86","6,798,806"
04/03/2025,"901.80","946.59","900.47","917.05","5,864,622"
04/02/2025,"923.00","949.55","916.11","935.52","3,256,886"
04/01/2025,"927.50","932.29","911.50","928.38","3,519,956"
03/31/2025,"920.53","934.48","900.59","932.53","4,634,075"
03/28/2025,"972.00","974.98","929.23","933.85","4,422,717"
03/27/2025,"974.22","989.00","966.37","976.72","3,047,237"
03/26/2025,"993.81","996.79","966.32","970.65","3,534,707"
03/25/2025,"978.18","998.70","977.11","997.28","3,782,245"
03/24/2025,"969.67","977.00","951.55","971.99","4,677,871"
03/21/2025,"941.64","963.65","940.95","960.29","5,905,429"
03/20/2025,"950.01","967.00","945.50","950.84","4,466,305"
03/19/2025,"935.77","968.00","924.00","959.49","6,662,361"
03/18/2025,"940.00","948.25","916.30","929.98","6,009,400"
03/17/2025,"939.95","967.63","934.42","950.02","7,543,146"
03/14/2025,"901.46","919.63","901.00","918.00","5,200,684"
03/13/2025,"913.00","921.89","887.51","890.17","5,001,698"
03/12/2025,"914.60","927.18","901.00","919.68","6,865,837"
03/11/2025,"867.41","910.68","866.00","895.10","7,398,934"
03/10/2025,"875.07","881.27","854.50","866.68","6,995,309"
03/07/2025,"897.64","904.89","858.07","891.11","7,737,488"
03/06/2025,"972.99","973.69","899.00","906.36","7,852,559"
03/05/2025,"973.62","995.60","969.48","990.92","3,807,935"
03/04/2025,"971.61","986.31","948.21","972.58","4,392,814"
03/03/2025,"983.00","994.93","964.81","973.70","3,907,447"
02/28/2025,"969.56","982.27","958.17","980.56","4,717,409"
02/27/2025,"995.00","1,000.73","961.83","963.07","3,766,566"
02/26/2025,"977.60","1,000.89","976.90","990.06","3,397,205"
02/25/2025,"989.40","994.40","955.00","977.24","4,738,304"
02/24/2025,"1,008.00","1,015.17","984.48","988.47","4,426,227"
02/21/2025,"1,029.42","1,032.38","999.39","1,003.15","3,738,710"
02/20/2025,"1,042.00","1,045.00","1,015.59","1,024.54","3,111,831"
02/19/2025,"1,035.18","1,045.00","1,024.51","1,043.33","2,600,048"
02/18/2025,"1,060.00","1,062.00","1,023.75","1,035.85","4,229,339"
02/14/2025,"1,044.95","1,064.50","1,041.69","1,058.60","3,145,430"
02/13/2025,"1,026.63","1,045.99","1,025.10","1,043.69","3,476,068"
02/12/2025,"1,005.49","1,027.74","998.35","1,027.31","3,388,966"
02/11/2025,"1,020.79","1,022.69","1,002.95","1,008.08","3,331,797"
02/10/2025,"1,023.05","1,032.85","1,015.88","1,027.60","3,296,566"
02/07/2025,"1,017.00","1,027.76","1,005.67","1,013.93","3,212,853"
02/06/2025,"1,007.87","1,016.35","1,002.61","1,015.68","3,134,293"
02/05/2025,"987.73","1,011.83","986.68","1,011.11","3,997,733"
02/04/2025,"980.47","1,008.00","978.51","994.87","6,000,137"
02/03/2025,"973.00","987.69","964.38","978.94","3,724,197"
01/31/2025,"974.00","990.29","974.00","976.76","3,618,718"
01/30/2025,"986.75","994.59","970.01","973.24","3,867,825"
01/29/2025,"980.00","987.64","968.23","978.15","2,930,728"
01/28/2025,"966.71","977.93","957.30","971.83","3,433,972"
01/27/2025,"971.10","982.27","960.26","971.89","4,634,204"
01/24/2025,"984.41","986.28","967.68","977.59","4,550,397"
01/23/2025,"957.81","985.00","953.90","984.86","7,752,137"
01/22/2025,"998.03","999.00","950.76","953.99","14,273,210"
01/21/2025,"863.53","916.40","854.75","869.68","9,851,351"
01/17/2025,"859.79","865.00","852.13","858.10","3,617,565"
01/16/2025,"860.96","868.98","842.02","842.37","4,028,537"
01/15/2025,"836.44","850.84","830.41","848.26","3,181,383"
01/14/2025,"843.20","844.89","823.52","828.40","3,037,650"
01/13/2025,"831.53","847.07","829.14","840.29","3,024,517"
01/10/2025,"866.40","866.41","834.40","837.69","4,803,312"
